company|headline|link|homeurl|date
Benevolent AI|Press release                                        03 Feb 2022 BenevolentAI Partners With The Helix Group At Stanford University To Advance Research On AI-Driven Drug Discovery Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-partners-helix-group-stanford-university-advance-research-ai-driven-drug-discovery/|https://www.benevolent.com|February 03, 2022
Benevolent AI|Press release                                        21 Jan 2022 BenevolentAI Appoints Daniel Neil As Chief Technology Officer Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-appoints-daniel-neil-chief-technology-officer/|https://www.benevolent.com|January 21, 2022
Benevolent AI|Press release                                        13 Jan 2022 BenevolentAI Announces 3-Year Collaboration Expansion With AstraZeneca Focused On Systemic Lupus Erythematosus And Heart Failure Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-announces-3-year-collaboration-expansion-astrazeneca-focused-systemic-lupus-erythematosus-and-heart-failure/|https://www.benevolent.com|January 13, 2022
Benevolent AI|In the media                                        13 Jan 2022 AstraZeneca doubles down on BenevolentAI drug hunting partnership, adding heart failure, lupus targets Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/astrazeneca-doubles-down-benevolentai-drug-hunting-partnership-adding-heart-failure-lupus-targets/|https://www.benevolent.com|January 13, 2022
Benevolent AI|Press release                                        06 Jan 2022 BenevolentAI To Present At The 40th Annual JP Morgan Healthcare Conference Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-present-40th-annual-jp-morgan-healthcare-conference/|https://www.benevolent.com|January 06, 2022
Benevolent AI|Press release                                        15 Dec 2021 BenevolentAI Achieves Second Major Collaboration Milestone With Novel Idiopathic Pulmonary Fibrosis Target Selected For AstraZeneca’s Portfolio Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-achieves-second-major-collaboration-milestone-novel-idiopathic-pulmonary-fibrosis-target-selected-astrazenecas-port/|https://www.benevolent.com|December 15, 2021
Benevolent AI|Press release                                        14 Oct 2021 BenevolentAI Identifies Novel Target For Ulcerative Colitis And Advances Candidate To IND/CTA-Enabling Studies Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-identifies-novel-target-ulcerative-colitis-and-advances-candidate-indcta-enabling-studies/|https://www.benevolent.com|October 14, 2021
Benevolent AI|Press release                                        09 Sep 2021 BenevolentAI Appoints Dr John Orloff To Its Board Of Directors Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-appoints-dr-john-orloff-its-board-directors/|https://www.benevolent.com|September 09, 2021
Benevolent AI|In the media                                        08 Aug 2021 How tech is changing healthcare Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/how-tech-changing-healthcare/|https://www.benevolent.com|August 08, 2021
Benevolent AI|Press release                                        09 Jul 2021 BenevolentAI Announces The Appointment Of Biopharma Luminary Dr François Nader As Chairman Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-announces-appointment-biopharma-luminary-dr-francois-nader-chairman/|https://www.benevolent.com|July 09, 2021
Benevolent AI|Press release                                        05 May 2021 Baricitinib, First Identified By BenevolentAI As A COVID-19 Treatment, Is Granted Emergency Use In India In Response To Its Escalating Crisis Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/baricitinib-first-identified-benevolentai-covid-19-treatment-granted-emergency-use-india-response-its-escalating-crisis/|https://www.benevolent.com|May 05, 2021
Benevolent AI|Press release                                        08 Apr 2021 Data From Eli Lilly’s COV-BARRIER Trial Shows Baricitinib Reduced Deaths In Hospitalised COVID-19 Patients By 38% Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/data-eli-lillys-cov-barrier-trial-shows-baricitinib-reduced-deaths-hospitalised-covid-19-patients-38/|https://www.benevolent.com|April 08, 2021
Benevolent AI|Press release                                        08 Mar 2021 BenevolentAI Named As One Of Fierce Medtech’s Fierce 15 Of 2020 Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-named-one-fierce-medtechs-fierce-15-2020/|https://www.benevolent.com|March 08, 2021
Benevolent AI|Press release                                        11 Feb 2021 BenevolentAI Announces First Patient Dosed In Its Atopic Dermatitis Clinical Trial Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-announces-first-patient-dosed-its-atopic-dermatitis-clinical-trial/|https://www.benevolent.com|February 11, 2021
Benevolent AI|Press release                                        27 Jan 2021 BenevolentAI And AstraZeneca Achieve Collaboration Milestone With Novel AI-Generated Chronic Kidney Disease Target Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-and-astrazeneca-achieve-collaboration-milestone-novel-ai-generated-chronic-kidney-disease-target/|https://www.benevolent.com|January 27, 2021
Benevolent AI|In the media                                        27 Jan 2021 AstraZeneca scores new goal on the pipeline front, adding its first AI-generated target to the portfolio Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/astrazeneca-scores-new-goal-pipeline-front-adding-its-first-ai-generated-target-portfolio/|https://www.benevolent.com|January 27, 2021
Benevolent AI|Press release                                        20 Nov 2020 FDA Grants Emergency Use Authorisation For Baricitinib In Hospitalised COVID-19 Patients Nine Months After Initial Hypothesis Was Published By BenevolentAI Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/fda-grants-emergency-use-authorisation-baricitinib-hospitalised-covid-19-patients-nine-months-after-initial-hypothesis-was-publi/|https://www.benevolent.com|November 20, 2020
Benevolent AI|Press release                                        03 Nov 2020 Sir Nigel Shadbolt joins BenevolentAI as a non-executive director Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/sir-nigel-shadbolt-joins-benevolentai-non-executive-director/|https://www.benevolent.com|November 03, 2020
Benevolent AI|Press release                                        09 Oct 2020 NIAID releases additional data validating BenevolentAI’s hypothesis for baricitinib as a treatment for COVID-19 patients in large-scale randomised control trial Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/niaid-releases-additional-data-validating-benevolentais-hypothesis-baricitinib-treatment-covid-19-patients-large-scale-randomise/|https://www.benevolent.com|October 09, 2020
Benevolent AI|Press release                                        01 Oct 2020 BenevolentAI Welcomes Professor Russ Altman As Scientific Advisor Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-welcomes-professor-russ-altman-scientific-advisor/|https://www.benevolent.com|October 01, 2020
Benevolent AI|Press release                                        14 Sep 2020 BenevolentAI’s platform-derived hypothesis for COVID-19 treatment validated in US NIAID randomised control trial Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentais-platform-derived-hypothesis-covid-19-treatment-validated-us-niaid-randomised-control-trial/|https://www.benevolent.com|September 14, 2020
Benevolent AI|Press release                                        01 Jul 2020 Clinical data validates BenevolentAI's AI predicted hypothesis for baricitinib as a potential treatment for COVID-19 Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/clinical-data-validates-benevolentais-ai-predicted-hypothesis-baricitinib-potential-treatment-covid-19/|https://www.benevolent.com|July 01, 2020
Benevolent AI|In the media                                        01 Jul 2020 COVID-19 And AI: An Editorial Review In EMBO From Michael B. Schultz, Daniel Vera, David A. Sinclair Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/covid-19-and-ai-editorial-review-embo-michael-b-schultz-daniel-vera-david-sinclair/|https://www.benevolent.com|July 01, 2020
Benevolent AI|Press release                                        10 Apr 2020 Potential treatment for COVID-19 identified by BenevolentAI enters randomised clinical trial Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/potential-treatment-covid-19-identified-benevolentai-enters-randomised-clinical-trial/|https://www.benevolent.com|April 10, 2020
Benevolent AI|In the media                                        26 Feb 2020 MIT Technology Review names BenevolentAI as a top 10 breakthrough tech Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/mit-technology-review-names-benevolentai-top-10-breakthrough-tech/|https://www.benevolent.com|February 26, 2020
Benevolent AI|Press release                                        12 Feb 2020 BenevolentAI announces scientific collaboration with UC San Diego to investigate Cerebral Cavernous Malformations Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-announces-scientific-collaboration-uc-san-diego-investigate-cerebral-cavernous-malformations/|https://www.benevolent.com|February 12, 2020
Benevolent AI|Press release                                        17 Sep 2019 BenevolentAI announces $90 million investment from Temasek Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-announces-90-million-investment-temasek/|https://www.benevolent.com|September 17, 2019
Benevolent AI|Press release                                        04 Sep 2019 BenevolentAI announces agreement with leading healthcare company to leverage BenevolentAI’s technology platform Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-announces-agreement-leading-healthcare-company-leverage-benevolentais-technology-platform/|https://www.benevolent.com|September 04, 2019
Benevolent AI|Press release                                        04 Aug 2019 Neuropore Therapies and BenevolentAI Enter Strategic Collaboration to Discover Novel Therapeutics Through the Application of Artificial Intelligence Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/neuropore-therapies-and-benevolentai-enter-strategic-collaboration-discover-novel-therapeutics-through-application-artificial-in/|https://www.benevolent.com|August 04, 2019
Benevolent AI|Press release                                        29 Apr 2019 AstraZeneca starts artificial intelligence collaboration to accelerate drug discovery Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/astrazeneca-starts-artificial-intelligence-collaboration-accelerate-drug-discovery/|https://www.benevolent.com|April 29, 2019
Exscientia|Exscientia Business Update for Second Quarter and First Half of 2023|https://investors.exscientia.ai/press-releases/press-release-details/2023/Exscientia-Business-Update-for-Second-Quarter-and-First-Half-of-2023/default.aspx|https://investors.exscientia.ai|08/10/2023
Exscientia|Exscientia to Report Second Quarter 2023 Financial Results on August 10, 2023|https://investors.exscientia.ai/press-releases/press-release-details/2023/Exscientia-to-Report-Second-Quarter-2023-Financial-Results-on-August-10-2023/default.aspx|https://investors.exscientia.ai|08/03/2023
Exscientia|Exscientia Initiates Prospective Observational Study in Ovarian Cancer|https://investors.exscientia.ai/press-releases/press-release-details/2023/Exscientia-Initiates-Prospective-Observational-Study-in-Ovarian-Cancer/default.aspx|https://investors.exscientia.ai|07/18/2023
Exscientia|First Patient Enrolled in Phase 1/2 “ELUCIDATE” Trial Assessing GTAEXS617 in Advanced Solid Tumours|https://investors.exscientia.ai/press-releases/press-release-details/2023/First-Patient-Enrolled-in-Phase-12-ELUCIDATE-Trial-Assessing-GTAEXS617-in-Advanced-Solid-Tumours/default.aspx|https://investors.exscientia.ai|07/10/2023
Exscientia|Exscientia Announces Expansion of its Technology Leadership Team|https://investors.exscientia.ai/press-releases/press-release-details/2023/Exscientia-Announces-Expansion-of-its-Technology-Leadership-Team/default.aspx|https://investors.exscientia.ai|06/29/2023
Exscientia|Exscientia to Present at the Goldman Sachs 44th Annual Global Healthcare Conference|https://investors.exscientia.ai/press-releases/press-release-details/2023/Exscientia-to-Present-at-the-Goldman-Sachs-44th-Annual-Global-Healthcare-Conference/default.aspx|https://investors.exscientia.ai|06/06/2023
Exscientia|Exscientia Business Update for First Quarter 2023|https://investors.exscientia.ai/press-releases/press-release-details/2023/Exscientia-Business-Update-for-First-Quarter-2023/default.aspx|https://investors.exscientia.ai|05/24/2023
Exscientia|"Exscientia Highlights ""The Future of AI-enabled Drug Discovery"" at SLAS Europe"|https://investors.exscientia.ai/press-releases/press-release-details/2023/Exscientia-Highlights-The-Future-of-AI-enabled-Drug-Discovery-at-SLAS-Europe/default.aspx|https://investors.exscientia.ai|05/22/2023
Exscientia|Professor Andrew L. Hopkins elected Fellow of the Academy of Medical Sciences|https://investors.exscientia.ai/press-releases/press-release-details/2023/Professor-Andrew-L.-Hopkins-elected-Fellow-of-the-Academy-of-Medical-Sciences/default.aspx|https://investors.exscientia.ai|05/17/2023
Exscientia|Exscientia to Report First Quarter 2023 Financial Results on May 24, 2023|https://investors.exscientia.ai/press-releases/press-release-details/2023/Exscientia-to-Report-First-Quarter-2023-Financial-Results-on-May-24-2023/default.aspx|https://investors.exscientia.ai|05/17/2023
Exscientia|Exscientia Announces Sixth Molecule Created Through Generative AI Platform to Enter Clinical Stage|https://investors.exscientia.ai/press-releases/press-release-details/2023/Exscientia-Announces-Sixth-Molecule-Created-Through-Generative-AI-Platform-to-Enter-Clinical-Stage/default.aspx|https://investors.exscientia.ai|05/15/2023
Exscientia|Professor Andrew L. Hopkins elected Fellow of the Royal Society|https://investors.exscientia.ai/press-releases/press-release-details/2023/Professor-Andrew-L.-Hopkins-elected-Fellow-of-the-Royal-Society/default.aspx|https://investors.exscientia.ai|05/10/2023
Exscientia|Exscientia Appoints Harvard Professor Franziska Michor, Ph.D. to Board of Directors|https://investors.exscientia.ai/press-releases/press-release-details/2023/Exscientia-Appoints-Harvard-Professor-Franziska-Michor-Ph.D.-to-Board-of-Directors/default.aspx|https://investors.exscientia.ai|05/03/2023
Exscientia|Data Presented at AACR 2023 Highlights Exscientia’s Clinical and Preclinical Development|https://investors.exscientia.ai/press-releases/press-release-details/2023/Data-Presented-at-AACR-2023-Highlights-Exscientias-Clinical-and-Preclinical-Development/default.aspx|https://investors.exscientia.ai|04/19/2023
Exscientia|Exscientia Business and Financial Update for the Full Year 2022|https://investors.exscientia.ai/press-releases/press-release-details/2023/Exscientia-Business-and-Financial-Update-for-the-Full-Year-2022/default.aspx|https://investors.exscientia.ai|03/23/2023
Exscientia|Exscientia to Report Full Year 2022 Financial Results on March 23, 2023|https://investors.exscientia.ai/press-releases/press-release-details/2023/Exscientia-to-Report-Full-Year-2022-Financial-Results-on-March-23-2023/default.aspx|https://investors.exscientia.ai|03/16/2023
Exscientia|Exscientia to Present Data Highlighting Pipeline and Precision Medicine Platform at AACR|https://investors.exscientia.ai/press-releases/press-release-details/2023/Exscientia-to-Present-Data-Highlighting-Pipeline-and-Precision-Medicine-Platform-at-AACR/default.aspx|https://investors.exscientia.ai|03/15/2023
Exscientia|Exscientia Announces Expansion of its Precision Oncology Pipeline|https://investors.exscientia.ai/press-releases/press-release-details/2023/Exscientia-Announces-Expansion-of-its-Precision-Oncology-Pipeline/default.aspx|https://investors.exscientia.ai|03/14/2023
Exscientia|Exscientia Announces Collaboration with Charité to Advance Development of Precision Medicine Platform|https://investors.exscientia.ai/press-releases/press-release-details/2023/Exscientia-Announces-Collaboration-with-Charit-to-Advance-Development-of-Precision-Medicine-Platform/default.aspx|https://investors.exscientia.ai|03/07/2023
Exscientia|Exscientia to Present at Upcoming Investor Conferences in March|https://investors.exscientia.ai/press-releases/press-release-details/2023/Exscientia-to-Present-at-Upcoming-Investor-Conferences-in-March/default.aspx|https://investors.exscientia.ai|02/22/2023
Exscientia|Exscientia Announces First-in-Human Study for Bristol Myers Squibb In-Licensed PKC Theta Inhibitor, EXS4318|https://investors.exscientia.ai/press-releases/press-release-details/2023/Exscientia-Announces-First-in-Human-Study-for-Bristol-Myers-Squibb-In-Licensed-PKC-Theta-Inhibitor-EXS4318/default.aspx|https://investors.exscientia.ai|02/02/2023
Valo Health|Valo Health to Participate in the Jefferies Global Healthcare Conference|https://www.valohealth.com/press/valo-health-to-participate-in-the-jefferies-global-healthcare-conference|https://www.valohealth.com|
Recursion|Recursion Bridges the Protein and Chemical Space with Massive Protein-Ligand Interaction Predictions Spanning 36 Billion Compounds|https://ir.recursion.com/news-releases/news-release-details/recursion-bridges-protein-and-chemical-space-massive-protein|https://ir.recursion.com|Aug 08, 2023
